accepted_writes,avg_convergence_time,avg_judge_latency,avg_read_latency,avg_stale_version_gap,avg_visibility_lag,avg_write_latency,cache_hit_rate,cache_hits,cache_misses,conflict_checks,contested_ratio,contested_writes,deterministic_profile,duration,fallback_count,invalidations,judge,judge_mode,judge_provider_breakdown,llm_failure_categories,max_stale_version_gap,monotonic_read_violations,num_agents,num_artifacts,operations,p95_stale_version_gap,protocol,read_latency_p50,read_latency_p95,read_latency_p99,read_your_writes_checks,read_your_writes_success_rate,read_your_writes_successes,reason_code_counts,regime,run_error,run_status,scale,seed,stale_read_rate,stale_reads,sync_requests,total_events,write_latency_p50,write_latency_p95,write_latency_p99
0,7.5,,3.0,1.0,2.5,4.0,0.3333333333333333,4,8,2,1.0,2,strict,40,0,0,deterministic_strict,deterministic,"{""deterministic"": 2}",{},1,0,3,4,14,1.0,strong,4.0,4.0,4.0,1,0.0,0,"{""below_admission_profile_threshold"": 2}",low,,ok,small,7,0.16666666666666666,2,0,32,4.0,4.0,4.0
0,16.833333333333332,,2.772727272727273,1.0,2.5,4.0,0.4090909090909091,9,13,5,1.0,5,strict,40,0,0,deterministic_strict,deterministic,"{""deterministic"": 5}",{},1,2,3,4,27,1.0,strong,4.0,4.0,4.0,3,0.3333333333333333,1,"{""below_admission_profile_threshold"": 5}",low,,ok,small,17,0.2727272727272727,6,0,64,4.0,4.0,4.0
0,0.0,,2.875,1.0,2.5,4.0,0.375,3,5,2,1.0,2,strict,40,0,0,deterministic_strict,deterministic,"{""deterministic"": 2}",{},1,0,3,4,10,1.0,strong,4.0,4.0,4.0,1,1.0,1,"{""below_admission_profile_threshold"": 2}",low,,ok,small,29,0.375,3,0,24,4.0,4.0,4.0
0,21.166666666666668,,2.8260869565217392,1.3333333333333333,2.5,4.0,0.391304347826087,9,14,3,1.0,3,strict,65,0,0,deterministic_strict,deterministic,"{""deterministic"": 3}",{},2,0,5,7,26,1.0,strong,4.0,4.0,4.0,3,0.6666666666666666,2,"{""below_admission_profile_threshold"": 3}",low,,ok,medium,7,0.13043478260869565,3,0,58,4.0,4.0,4.0
0,16.5,,2.56,1.0,2.5,4.0,0.48,12,13,3,1.0,3,strict,65,0,0,deterministic_strict,deterministic,"{""deterministic"": 3}",{},1,1,5,7,28,1.0,strong,4.0,4.0,4.0,1,1.0,1,"{""below_admission_profile_threshold"": 3}",low,,ok,medium,17,0.16,4,0,62,4.0,4.0,4.0
0,0.0,,3.357142857142857,1.0,2.5,4.0,0.21428571428571427,3,11,2,1.0,2,strict,65,0,0,deterministic_strict,deterministic,"{""deterministic"": 2}",{},1,0,5,7,16,1.0,strong,4.0,4.0,4.0,0,0.0,0,"{""below_admission_profile_threshold"": 2}",low,,ok,medium,29,0.14285714285714285,2,0,36,4.0,4.0,4.0
0,16.5,,2.9285714285714284,1.0,2.5,4.0,0.35714285714285715,15,27,10,1.0,10,strict,90,0,0,deterministic_strict,deterministic,"{""deterministic"": 10}",{},1,0,8,12,52,1.0,strong,4.0,4.0,4.0,3,0.6666666666666666,2,"{""below_admission_profile_threshold"": 10}",low,,ok,large,7,0.3333333333333333,14,0,124,4.0,4.0,4.0
0,41.833333333333336,,3.3617021276595747,0.0,2.5,4.0,0.2127659574468085,10,37,4,1.0,4,strict,90,0,0,deterministic_strict,deterministic,"{""deterministic"": 4}",{},0,0,8,12,51,0.0,strong,4.0,4.0,4.0,0,0.0,0,"{""below_admission_profile_threshold"": 4}",low,,ok,large,17,0.0,0,0,110,4.0,4.0,4.0
0,43.5,,3.375,1.0,2.5,4.0,0.20833333333333334,5,19,5,1.0,5,strict,90,0,0,deterministic_strict,deterministic,"{""deterministic"": 5}",{},1,0,8,12,29,1.0,strong,4.0,4.0,4.0,0,0.0,0,"{""below_admission_profile_threshold"": 5}",low,,ok,large,29,0.041666666666666664,1,0,68,4.0,4.0,4.0
0,8.195652173913043,,1.75,1.95,2.5,4.0,0.75,36,12,15,1.0,15,strict,40,0,0,deterministic_strict,deterministic,"{""deterministic"": 15}",{},5,1,3,4,63,4.0,strong,1.0,4.0,4.0,15,0.2,3,"{""below_admission_profile_threshold"": 15}",medium,,ok,small,7,0.4166666666666667,20,0,156,4.0,4.0,4.0
